Dollars Invested,Investment Name,Current Value,HIGH/LOW,Investment Type,Growth %,Outliers,Row Number,Predicted Value,Normalized Growth,Value Category
350.0,Snapchat Stock,6700.0,HIGH,Stock,1814.29,,22,,0.14771793246448378,Medium
490.0,Oracle Stock,9200.0,HIGH,Stock,1777.55,,23,,0.1447398071757094,High
510.0,Google Stock,9000.0,HIGH,Stock,1664.71,,24,,0.13559305547224443,High
560.0,Dell Stock,9600.0,HIGH,Stock,1614.29,,25,,0.13150603649946258,High
60.0,Certificate of Deposit,1000.0,LOW,Other,1566.67,,26,,0.12764598407019104,Low
580.0,Tesla Stock,9400.0,HIGH,Stock,1520.69,,27,,0.12391886918783265,High
250.0,Biotech Stock,4000.0,LOW,Stock,1500.0,,28,,0.1222417485502512,Medium
300.0,DoorDash Stock,4600.0,LOW,Stock,1433.33,,29,,0.11683751303031138,Medium
70.0,Savings Bond,1050.0,LOW,Bond,1400.0,,30,,0.1141358005677406,Low
310.0,Lyft Stock,4500.0,LOW,Stock,1351.61,,31,,0.11021333233900371,Medium
580.0,Qualcomm Stock,8400.0,HIGH,Stock,1348.28,,32,,0.10994340427118611,High
600.0,IBM Stock,8300.0,HIGH,Stock,1283.33,,33,,0.10467859105654546,High
570.0,Honda Stock,7800.0,HIGH,Stock,1268.42,,34,,0.10346999421235314,High
720.0,Microsoft Stock,9600.0,HIGH,Stock,1233.33,,35,,0.10062561706529016,High
150.0,Small-Cap Fund,2000.0,LOW,Fund,1233.33,,36,,0.10062561706529016,Low
750.0,Sony Stock,9800.0,HIGH,Stock,1206.67,,37,,0.09846457133315285,High
590.0,Toyota Stock,7700.0,HIGH,Stock,1205.08,,38,,0.09833568676023093,High
320.0,Walmart Stock,3600.0,LOW,Stock,1025.0,,39,,0.08373849563332582,Medium
710.0,General Motors Stock,7600.0,HIGH,Stock,970.42,,40,,0.07931426922447153,High
880.0,HP Stock,9400.0,HIGH,Stock,968.18,,41,,0.0791326959896633,High
600.0,WhatsApp (Meta),6200.0,HIGH,Other,933.33,,42,,0.07630777311775835,Medium
340.0,Amazon Prime (Amazon),3500.0,LOW,Other,929.41,,43,,0.07599001995684393,Low
730.0,Ford Stock,7500.0,HIGH,Stock,927.4,,44,,0.07582709040239546,High
900.0,Amazon Stock,9200.0,HIGH,Stock,922.22,,45,,0.07540720229690143,High
500.0,Slack Stock,5000.0,LOW,Stock,900.0,,46,,0.07360606065518757,Medium
820.0,Real Estate ETF,8000.0,HIGH,ETF,875.61,,47,,0.07162901994225324,High
760.0,Booking.com Stock,7200.0,HIGH,Stock,847.37,,48,,0.06933990023199223,High
520.0,Zoom Stock,4900.0,LOW,Stock,842.31,,49,,0.0689297392640772,Medium
620.0,Spotify Stock,5800.0,HIGH,Stock,835.48,,50,,0.06837610301687172,Medium
850.0,SPDR Gold Shares ETF,7900.0,HIGH,ETF,829.41,,51,,0.06788407197433333,High
700.0,Renewable Energy ETF,6500.0,HIGH,ETF,828.57,,52,,0.06781598201128024,Medium
780.0,Airbnb Stock,7100.0,HIGH,Stock,810.26,,53,,0.06633178293568255,High
640.0,YouTube (Google),5700.0,HIGH,Other,790.63,,54,,0.06474058534671571,Medium
610.0,Intuit Stock,5200.0,HIGH,Stock,752.46,,55,,0.06164654500179142,Medium
670.0,Hulu Stock,5600.0,HIGH,Stock,735.82,,56,,0.060297715257501654,Medium
660.0,Netflix Stock,5500.0,HIGH,Stock,733.33,,57,,0.06009587715273714,Medium
1040.0,Instagram (Meta),8500.0,HIGH,Other,717.31,,58,,0.058797304285938934,High
630.0,Adobe Stock,5100.0,HIGH,Stock,709.52,,59,,0.05816585093810136,Medium
470.0,iShares Bond Fund,3800.0,LOW,Fund,708.51,,60,,0.058083980863478005,Medium
400.0,McDonald’s Stock,3200.0,LOW,Stock,700.0,,61,,0.05739416469016635,Low
540.0,Municipal Bond A,4200.0,LOW,Bond,677.78,,62,,0.05559302304845249,Medium
530.0,Corporate Bond A,4100.0,LOW,Bond,673.58,,63,,0.05525257323318705,Medium
410.0,PepsiCo Stock,3100.0,LOW,Stock,656.1,,64,,0.0538356535258442,Low
490.0,Vanguard Bond Fund,3700.0,LOW,Fund,655.1,,65,,0.05375459404601909,Medium
590.0,Target Stock,4000.0,LOW,Stock,577.97,,66,,0.04750247636710866,Medium
890.0,Porsche Stock,6000.0,HIGH,Stock,574.16,,67,,0.047193639748975,Medium
910.0,Ferrari Stock,5900.0,HIGH,Stock,548.35,,68,,0.04510149457468902,Medium
610.0,IKEA Stock,3900.0,LOW,Stock,539.34,,69,,0.04437114866146481,Medium
230.0,Google Bond,1450.0,LOW,Bond,530.43,,70,,0.04364890869622311,Low
200.0,Healthcare Stock,1200.0,LOW,Stock,500.0,,71,,0.04118226872514514,Low
480.0,Amazon Bond,2800.0,LOW,Bond,483.33,,72,,0.03983100719646062,Low
380.0,Yamaha Stock,2200.0,LOW,Stock,478.95,,73,,0.039475966674826654,Low
950.0,Lyft Bond,5400.0,HIGH,Bond,468.42,,74,,0.038622410352268294,Medium
780.0,Corporate Bond C,4400.0,LOW,Bond,464.1,,75,,0.03827223339942384,Medium
770.0,Rolex Bond,4300.0,LOW,Bond,458.44,,76,,0.03781343674361373,Medium
970.0,Uber Stock,5300.0,HIGH,Stock,446.39,,77,,0.0368366700117212,Medium
500.0,Meta Bond,2700.0,LOW,Bond,440.0,,78,,0.03631869993563878,Low
390.0,Kawasaki Stock,2100.0,LOW,Stock,438.46,,79,,0.03619386833670811,Low
430.0,Facebook (Meta),2300.0,LOW,Other,434.88,,80,,0.035903675398934236,Low
940.0,Etsy Stock,4800.0,LOW,Stock,410.64,,81,,0.03393879360797366,Medium
220.0,Dental Stock,1100.0,LOW,Stock,400.0,,82,,0.03307632074263454,Low
960.0,Shopify Stock,4700.0,LOW,Stock,389.58,,83,,0.032231680962856925,Medium
660.0,Toyota Bond,2600.0,LOW,Bond,293.94,,84,,0.024479152312383783,Low
680.0,Suzuki Stock,2500.0,LOW,Stock,267.65,,85,,0.022348098587781744,Low
410.0,Municipal Bond B,1400.0,LOW,Bond,241.46,,86,,0.020225150811162218,Low
930.0,Gmail (Google),3100.0,LOW,Other,233.33,,87,,0.019566137240184106,Low
910.0,Apple Bond,3000.0,LOW,Bond,229.67,,88,,0.019269459544024217,Low
920.0,Tesla Bond,2900.0,LOW,Bond,215.22,,89,,0.018098150060551432,Low
440.0,Corporate Bond B,1300.0,LOW,Bond,195.45,,90,,0.016495604144409086,Low
830.0,Yahoo Bond,1800.0,LOW,Bond,116.87,,91,,0.010125950219752251,Low
970.0,X Bond,2000.0,LOW,Bond,106.19,,92,,0.009260234975220117,Low
860.0,Yahoo Stock,1700.0,LOW,Stock,97.67,,93,,0.008569608207110214,Low
990.0,Twitter (X) Stock,1900.0,LOW,Stock,91.92,,94,,0.008103516198115853,Low
430.0,AI Startup Stock,650.0,LOW,Stock,51.16,,95,,0.00479953180044453,Low
630.0,BlueChip Stock,950.0,LOW,Stock,50.79,,96,,0.0047695397929092415,Low
420.0,OpenAI Stock,600.0,LOW,Stock,42.86,,97,,0.00412673811789615,Low
650.0,BlueCross Stock,900.0,LOW,Stock,38.46,,98,,0.003770076406665684,Low
850.0,Art Investment (Monet),850.0,LOW,Other,0.0,,99,,0.0006525288125921039,Low
870.0,Art Investment (Picasso),800.0,LOW,Other,-8.05,,100,,0.0,Low
