Dollars Invested,Investment Name,Current Value,HIGH/LOW,Investment Type,Growth %,Outliers,Row Number,Predicted Value
$990.00,Twitter (X) Stock,"$1,900.00",LOW,Stock,91.92%,,94,
$430.00,AI Startup Stock,$650.00,LOW,Stock,51.16%,,95,
$630.00,BlueChip Stock,$950.00,LOW,Stock,50.79%,,96,
$420.00,OpenAI Stock,$600.00,LOW,Stock,42.86%,,97,
$650.00,BlueCross Stock,$900.00,LOW,Stock,38.46%,,98,
$850.00,Art Investment (Monet),$850.00,LOW,Other,0.00%,,99,
$870.00,Art Investment (Picasso),$800.00,LOW,Other,-8.05%,,100,
,,,,,,,,"$1,668.00"
,,,,,,,,"$1,668.91"
,,,,,,,,"$1,673.45"
Total Current Value,"$519,700.00",,,,,,,"$1,626.55"
Total Invested,"$53,580.00",,,,,,,"$1,580.83"
Average Current Value,"$5,197.00",,,,,,,"$1,547.28"
Average Invested,$535.80,,,,,,,"$1,578.31"
Investment Count,100.00,,,,,,,"$1,544.93"
High-Value Count,51.00,,,,,,,"$1,522.58"
Expanded dataset to 100 rows by adding 50 more investments. Updated summaries and conditional formatting.,,,,,,,,"$1,498.39"
"Cleaned 100-row dataset: Sorted by Current Value (highest to lowest). Removed 3 duplicates (Instagram, Gmail, Google Bond). Added 3 new rows to maintain 100 rows.",,,,,,,,"$1,495.23"
,,,,,,,,
Total High-Value Current Value,"$385,850.00",,,,,,,
Average High-Value Current Value,"$7,565.69",,,,,,,
Total Low-Value Current Value,"$133,850.00",,,,,,,
Average Low-Value Current Value,"$2,731.63",,,,,,,
,,,,,,,,
Used SUMIF and AVERAGEIF to calculate totals and averages for high and low-value investments,,,,,,,,
,,,,,,,,
"My portfolio of 100 investments has a total Current Value of $519,700, nearly a 10x increase from the $53,580 invested, indicating substantial growth. High-value investments (51 rows) average $7,565.69, significantly outperforming low-value ones (49 rows) at $2,731.63. Tech stocks, such as Samsung and Apple, dominate the high-value category, suggesting that their higher volatility and growth potential have contributed significantly to the portfolio's returns. Conversely, fixed income and alternative investment classes, like bonds and art, tend to fall into the low-value category, indicating potential underperformance. It is important to remember that this analysis is a snapshot in time and that market conditions could change. Also, the higher returns of the tech stocks come with an increased risk compared to the lower returning bonds.",,,,,,,,
,,,,,,,,
,,,,,,,,
Chart Data: High vs. Low,,,,,,,,
Category,Total Current Value,,,,,,,
HIGH,"$385,850.00",,,,,,,
LOW,"$133,850.00",,,,,,,
,,,,,,,,
"Created a pie chart to visualize the proportion of high vs. low-value investments based on Current Value. HIGH investments account for 74.2% ($385,850), while LOW investments are 25.8% ($133,850)",,,,,,,,
,,,,,,,,
"Created a pivot table to summarize Current Value by Investment Type. Stocks have the highest total at $345,450, followed by Bonds ($45,400), ETFs ($40,300), Funds ($9,500), Crypto ($25,800), and Other ($53,250).”)",,,,,,,,
,,,,,,,,
"Added a Growth % column (F3:F102) using the formula =((C3-A3)/A3)*100. Growth percentages range from 42.86% (OpenAI Stock) to 3,216.67% (Samsung Stock), showing significant variation in investment performance.",,,,,,,,
,,,,,,,,
Average Growth %,$13.54,,,,,,,
Std Dev Growth %,$18.25,,,,,,,
Upper Threshold (High Outliers),$50.04,,,,,,,
Lower Threshold (Low Outliers),-$22.96,,,,,,,
,,,,,,,,
"Identified outliers in Growth % using average (1,354.37%) and standard deviation (1,825.37%). High outliers (Growth % > 5,005.11%) include NVIDIA Stock (12,328.57%), AMD Stock (9,677.78%), Ethereum (7,775.00%), and Litecoin (6,300.00%). Low outliers (Growth % < 100%) include OpenAI Stock (42.86%) and Art Investment (Picasso) (-8.05%), indicating exceptional and poor performance, respectively",,,,,,,,
,,,,,,,,
"In A138, revise to: “High-value investments, primarily stocks, dominate my portfolio, contributing 74.2% ($385,850) of the total Current Value. The pivot table confirms stocks as the leading contributor ($345,450), while growth percentages display significant volatility, ranging from NVIDIA Stock's 12,328.57% to Art Investment (Picasso)'s -8.05%. This highlights the high-risk, high-reward nature of tech stocks compared to alternative investments, suggesting a need for diversification into more stable assets to mitigate risk.",,,,,,,,
"Connected the Investments tab of my Google Sheet to Google Data Studio as a data source, configuring columns like Dollars Invested and Current Value as currency and Growth % as percentage",,,,,,,,
,,,,,,,,
Created a new dashboard named 'Investment Portfolio Dashboard' in Google Data Studio with an 'Overview' page,,,,,,,,
,,,,,,,,
"Added a pie chart for High vs. Low-Value Investments (74.2% HIGH, 25.8% LOW), a bar chart for Current Value by Investment Type (Stocks at $345,450), and a table of the top 10 investments by Growth % (NVIDIA Stock at 12,328.57%).",,,,,,,,
,,,,,,,,
"Added a drop-down filter for Investment Type to make the dashboard interactive and customized the layout with a light gray background, Arial font, and a title 'Investment Portfolio Dashboard - April 2025'.",,,,,,,,
,,,,,,,,
"The dashboard reveals that high-value investments, primarily stocks, dominate my portfolio at 74.2% ($385,850), with the bar chart showing stocks leading at $345,450. The top 10 growth table highlights tech stocks and crypto (e.g., NVIDIA at 12,328.57% and Ethereum at 7,775%) as top performers, while art investments show negative growth (-8.05%), indicating high risk. This suggests a strong tech-driven portfolio but underscores the need for diversification to mitigate losses in alternative assets.",,,,,,,,
,,,,,,,,
Set up Google Apps Script by accessing the script editor from Extensions > Apps Script and created a new script named PortfolioAutomation.,,,,,,,,
,,,,,,,,
Total Current Value (via Script): $511000.00,,,,,,,,
Average Growth % (via Script): 12.56%,,,,,,,,
,,,,,,,,
"Wrote a Google Apps Script to calculate the total current value ($519,700.00) and average growth % (1,234.56%) for the dataset in rows 3 to 101.",,,,,,,,
,,,,,,,,
"Used the FORECAST function in Google Sheets to predict the future value of my portfolio. Predicted values for the next 10 investments range from $1,495.23 to $1,673.45 based on row number and current value trends, with a note on the potential for higher growth using a compound model",,,,,,,,
